Decision,Applicant_GPA,Decision_Year,Target_University_FSR_Score,Target_University_CPF_Score,Target_University_ISR_Score,Target_University_QS_Rank,Target_Degree_Type,Applicant_Status,Target_University_Status,Target_Program,Target_Program_Discipline,Target_University,Target_Country,Program_Admission_Rate,Program_x_QS_Rank
0,-1.4142964392698685,1.3164137874418664,-0.8285736274845398,-0.3024569751885296,-0.7597175509603133,1.2886474901351164,2,1.0,2.0,0.0096153846153846,0.0245384615384615,0.0041538461538461,0.8453076923076923,0.688,0.012390841251299176
1,0.7372307580699539,1.3164137874418664,-1.1108152341653017,-1.5788556750828695,-0.235912844289537,1.6847041290927744,2,2.0,1.0,0.0833076923076923,0.087076923076923,0.0051538461538461,0.8453076923076923,0.541089566020314,0.1403488132159596
0,-0.6678482279478893,1.3164137874418664,-1.266336119479191,-0.9498522811868116,-1.669987925357699,1.0853080663024488,2,2.0,1.0,0.0052307692307692,0.0245384615384615,0.0061538461538461,0.8453076923076923,0.2647058823529412,0.005676996039120468
0,-2.424196960470194,1.3164137874418664,0.2831127008702975,0.3486167132301971,1.1278957517374233,-0.7386769146443148,1,1.0,1.0,0.0194615384615384,0.0194615384615384,0.0073076923076923,0.0544615384615384,0.6047430830039525,-0.014375789185000853
0,0.9567743496352432,1.3164137874418664,-1.182815644032843,-0.0192215288142814,-0.0921859430688972,-0.5535469914533787,2,1.0,1.0,0.0077692307692307,0.0168461538461538,0.0104615384615384,0.8453076923076923,0.39603960396039606,-0.004300634318214674
1,-0.0092174532520253,1.3164137874418664,0.5019939468676233,0.6870278959111169,1.2269076170227529,-0.4594645714710997,1,2.0,2.0,0.0085384615384615,0.040076923076923,0.0068461538461538,0.8453076923076923,0.5405405405405406,-0.0039231205717916795
1,1.0885005045744152,1.3164137874418664,-0.6557726438024406,0.2934409769235254,0.6903271857990309,-0.6992229965872301,1,1.0,1.0,0.0077692307692307,0.0168461538461538,0.0063076923076923,0.0544615384615384,0.39603960396039606,-0.005432424819639201
1,1.0885005045744152,1.3164137874418664,-1.266336119479191,-0.9498522811868116,-1.669987925357699,1.0853080663024488,2,1.0,1.0,0.005,0.0615384615384615,0.0061538461538461,0.8453076923076923,0.5461538461538461,0.005426540331512244
0,0.9567743496352432,1.3164137874418664,-0.917854135720291,-1.4501122903673025,1.163028994258024,2.5193062418387977,2,1.0,2.0,0.0055384615384615,0.0422307692307692,0.0054615384615384,0.8453076923076923,0.3611111111111111,0.013953080724030167
0,0.9567743496352432,1.3164137874418664,-1.4074569228195717,0.6870278959111169,0.3805158653900959,-0.608175493378573,2,1.0,1.0,0.0202307692307692,0.032,0.0166153846153846,0.8453076923076923,0.5627376425855514,-0.012303858058351113
0,0.210326138313262,1.3164137874418664,-0.3994511846739937,0.7863442212631261,-0.8427597605544608,-0.6810134959454986,1,1.0,1.0,0.0833076923076923,0.087076923076923,0.0258461538461538,0.8453076923076923,0.541089566020314,-0.056733662777613464
0,0.210326138313262,1.3164137874418664,1.2248780619377375,0.8415199575697979,1.1502532697050785,-0.7477816649651805,2,1.0,2.0,0.0822307692307692,0.139076923076923,0.0137692307692307,0.8453076923076923,0.6707202993451824,-0.06149066152675213
0,0.6933220397568972,1.3164137874418664,-1.4074569228195717,0.6870278959111169,0.3805158653900959,-0.608175493378573,2,1.0,1.0,0.0202307692307692,0.032,0.0166153846153846,0.8453076923076923,0.5627376425855514,-0.012303858058351113
0,0.8250481946960693,1.3164137874418664,-0.6557726438024406,0.2934409769235254,0.6903271857990309,-0.6992229965872301,1,1.0,1.0,0.0833076923076923,0.087076923076923,0.0063076923076923,0.0544615384615384,0.541089566020314,-0.05825065425415155
1,0.5176871665046666,1.3164137874418664,1.2248780619377375,0.8415199575697979,1.1502532697050785,-0.7477816649651805,1,2.0,2.0,0.022,0.0309230769230769,0.0137692307692307,0.8453076923076923,0.6783216783216783,-0.016451196629233972
1,0.5176871665046666,1.3164137874418664,0.908076258520556,-1.14848493189083,1.3259194823080829,-0.6536992449829016,1,2.0,2.0,0.022,0.0309230769230769,0.0129230769230769,0.8453076923076923,0.6783216783216783,-0.014381383389623833
1,0.5176871665046666,1.3164137874418664,1.2248780619377375,-0.6776519820738978,1.2748165840962995,-0.7052928301344739,1,2.0,2.0,0.022,0.0309230769230769,0.0218461538461538,0.8453076923076923,0.6783216783216783,-0.015516442262958424
1,-0.6239395096348326,1.3164137874418664,-1.5053774802394275,-0.3576327114952014,-0.3572822275425217,1.5633074581478985,1,2.0,1.0,0.0159230769230769,0.04,0.0029230769230769,0.003,0.2995169082125604,0.024892664910508813
0,1.0885005045744152,1.3164137874418664,0.196712209029248,1.2902826128640617,0.559376009131337,-0.7720609991541557,2,2.0,2.0,0.0187692307692307,0.0267692307692307,0.0195384615384615,0.8453076923076923,0.680327868852459,-0.014490991061047178
1,-0.6678482279478893,1.3164137874418664,-0.6644126929865457,-1.166876843993054,-1.270746533078144,0.1080648651961961,1,1.0,1.0,0.0032307692307692,0.0701538461538461,0.0053846153846153,0.8453076923076923,0.6071428571428571,0.00034913264140309176
0,0.210326138313262,1.3164137874418664,-0.3994511846739937,0.7863442212631261,-0.8427597605544608,-0.6810134959454986,2,1.0,1.0,0.0202307692307692,0.032,0.0258461538461538,0.8453076923076923,0.5627376425855514,-0.01377742687951276
0,0.210326138313262,1.3164137874418664,-0.1834499550713698,1.3123529073867302,1.2939801709257184,-0.6628039953037672,2,1.0,2.0,0.0202307692307692,0.032,0.0183846153846153,0.8453076923076923,0.5627376425855514,-0.013409034674222348
1,-0.2287610448173127,1.3164137874418664,-1.09065511940239,0.1205570031626204,0.7350422217343412,-0.3775218185833083,1,2.0,2.0,0.022,0.0309230769230769,0.0143846153846153,0.8453076923076923,0.6783216783216783,-0.008305480008832782
1,-0.2287610448173127,1.3164137874418664,-0.3994511846739937,0.7863442212631261,-0.8427597605544608,-0.6810134959454986,1,2.0,1.0,0.022,0.0309230769230769,0.0258461538461538,0.8453076923076923,0.6783216783216783,-0.01498229691080097
1,-0.2287610448173127,1.3164137874418664,-0.2381702665707011,0.230908475775964,-0.3956094012013591,0.4631501277099588,1,2.0,1.0,0.022,0.0309230769230769,0.0332307692307692,0.8453076923076923,0.6783216783216783,0.010189302809619093
1,-0.2287610448173127,1.3164137874418664,-0.8084135127216283,1.2608555535005035,0.3964855210812782,-0.7690260823805338,1,2.0,1.0,0.022,0.0309230769230769,0.0053076923076923,0.8453076923076923,0.6783216783216783,-0.016918573812371742
